name,rating,address,introduction,review_count,url,city,tags
襄阳公园,4.6,上海市徐汇区淮海中路1008号(近襄阳北路),,392,https://you.ctrip.com/sight/2/111300.html,,[]
天后博物馆,4.4,广东省深圳市南山区招商街道赤湾六路9号,,63,https://you.ctrip.com/sight/26/50536.html,,[]
龙美术馆,4.7,罗山路2255弄210号（近花木路）,,124,https://you.ctrip.com/sight/2/144534.html,,[]
天坛公园,4.7,北京市东城区天坛东里甲1号,,19401,https://you.ctrip.com/sight/beijing1/233.html?scene=online,北京,[]
中国科学院华南国家植物园,4.6,广州市天河区天源路1190号,,4461,https://you.ctrip.com/sight/guangzhou152/6794.html?scene=online,广州,[]
海印大桥,4.7,广东省广州市,,198,https://you.ctrip.com/sight/152/1481423.html,,[]
华东政法大学(长宁校区),4.7,上海市长宁区万航渡路1575号,,498,https://you.ctrip.com/sight/2/75641.html,,[]
笔架山公园,4.5,深圳市福田区梅岗路26号,,199,https://you.ctrip.com/sight/26/50552.html,,[]
大鹏半岛,4.5,广东省深圳市大鹏新区南澳街道新大社区南澳地质公园路1号,,84,https://you.ctrip.com/sight/shenzhen26/1474852.html?scene=online,深圳,[]
龙城广场,4.6,广东省深圳市龙岗区龙城街道尚景社区向前路120号,,162,https://you.ctrip.com/sight/26/50579.html,,[]
大湾区一号(港珠澳大桥航线),4.5,广东省深圳市南山区海运路蛇口邮轮中心,,290,https://you.ctrip.com/sight/shenzhen26/111985046.html?scene=online,深圳,[]
上海博物馆,4.6,上海市黄浦区人民大道201号,,9350,https://you.ctrip.com/sight/shanghai2/3733.html?scene=online,上海,[]
招商局历史博物馆,4.5,深圳市南山区观海路蛇口工业区大厦西北侧约90米,,45,https://you.ctrip.com/sight/26/1509042.html,,[]
篱苑书屋,4.0,北京市怀柔区雁栖镇交界河村智慧谷过桥东50米,,15,https://you.ctrip.com/sight/1/1712487.html,北京,[]
国家自然博物馆,4.7,北京市东城区天桥南大街126号,,1959,https://you.ctrip.com/sight/beijing1/5181.html?scene=online,北京,[]
泡泡玛特城市乐园,4.5,北京市朝阳区朝阳公园南路1号40幢,,1455,https://you.ctrip.com/sight/beijing1/136653497.html?scene=online,北京,[]
广州塔460米摩天轮,4.6,广东省广州市海珠区阅江西路222号广州塔112层,,1877,https://you.ctrip.com/sight/guangzhou152/1484195.html?scene=online,广州,[]
东部华侨城,4.0,广东省深圳市盐田区大梅沙,,17863,https://you.ctrip.com/sight/shenzhen26/50102.html?scene=online,深圳,[]
西沙明珠湖景区,4.7,上海市崇明区三华公路333号,,1049,https://you.ctrip.com/sight/2/109784.html,,[]
